value,cdf,label
634.611300,0.890000,full
652.432300,0.893333,full
655.782000,0.896667,full
661.657600,0.900000,full
676.240300,0.903333,full
679.125800,0.906667,full
689.969000,0.910000,full
743.096700,0.913333,full
761.854900,0.916667,full
766.374500,0.920000,full
780.895200,0.923333,full
790.679100,0.926667,full
801.110500,0.930000,full
807.081000,0.933333,full
877.191400,0.936667,full
881.584600,0.940000,full
901.603800,0.943333,full
1005.406600,0.946667,full
1044.737400,0.950000,full
1078.921100,0.953333,full
1082.838800,0.956667,full
1100.499100,0.960000,full
1124.319600,0.963333,full
1124.629400,0.966667,full
1135.033200,0.970000,full
1182.013300,0.973333,full
1182.363100,0.976667,full
1186.155700,0.980000,full
1245.666500,0.983333,full
1316.396600,0.986667,full
1338.517700,0.990000,full
1403.603900,0.993333,full
1590.280900,0.996667,full
2241.373400,1.000000,full
