value,cdf,label
0.641783,0.920690,full
0.664831,0.924138,full
0.683538,0.927586,full
0.724975,0.931034,full
0.737522,0.934483,full
0.787254,0.937931,full
0.801604,0.941379,full
0.846538,0.944828,full
0.847079,0.948276,full
0.856305,0.951724,full
0.861369,0.955172,full
0.862104,0.958621,full
0.868759,0.962069,full
0.870369,0.965517,full
0.889701,0.968966,full
0.908465,0.972414,full
0.942223,0.975862,full
0.950228,0.979310,full
0.953739,0.982759,full
0.954511,0.986207,full
0.966747,0.989655,full
0.967798,0.993103,full
0.978819,0.996552,full
0.996039,1.000000,full
